UID,City,Zip,Lat,Long,Price,Crime Rate,Rent Price ,School Ranking ,Housing Growth,HOA
312,1,90385,34.1009159,-118.1617622," 65,357,008 ",9%,4046,4,9.2680%,416
313,8,90499,34.0862686,-118.1628342," 98,276,913 ",7%,3922,1,53.9398%,1247
314,7,90112,34.0800413,-118.1507781," 70,252,660 ",32%,2920,2,89.8404%,1342
315,3,90652,34.0604722,-118.1096904," 41,104,761 ",93%,1102,7,60.8960%,746
316,3,90804,34.0974336,-118.1133914," 25,269,266 ",98%,2066,6,9.4973%,800
317,3,90849,34.0909304,-118.129884," 30,258,779 ",70%,2216,2,97.2751%,779
318,11,90143,34.0698553,-118.1401401," 26,477,064 ",12%,2791,6,9.9246%,426
319,7,90415,34.0875757,-118.1256714," 58,998,433 ",3%,1568,4,23.1382%,687
320,18,90763,34.1058101,-118.1376766," 31,573,838 ",24%,429,2,43.7485%,329
321,2,90412,34.0633596,-118.1325642," 90,938,710 ",3%,4137,7,99.6977%,1012
322,18,90361,34.1021069,-118.1534308," 54,331,481 ",74%,3530,7,27.2913%,143
323,10,90280,34.0868211,-118.1376022," 86,315,564 ",13%,4333,7,31.7080%,506
324,14,90518,34.0745622,-118.1648075," 56,958,154 ",71%,2910,1,21.5485%,750
325,11,90715,34.0796868,-118.1136898," 36,952,709 ",10%,4965,7,67.6088%,464
326,9,90007,34.0913105,-118.1388528," 59,542,859 ",15%,4794,10,16.4444%,532
327,9,90822,34.1104929,-118.1520976," 60,821,362 ",17%,2920,1,65.5341%,1469
328,19,90854,34.0637355,-118.1513942," 335,550 ",47%,4282,5,26.7072%,667
329,16,90803,34.0787726,-118.144535," 27,913,336 ",5%,2185,4,23.7186%,742
330,15,90723,34.0934896,-118.1629016," 98,600,760 ",8%,1211,2,90.9879%,533
331,4,90348,34.1095556,-118.1616072," 6,912,216 ",40%,614,7,12.5424%,839
332,19,90483,34.1043868,-118.1211097," 88,718,591 ",99%,1068,10,99.7320%,626
333,2,90323,34.072243,-118.1590868," 48,608,635 ",45%,4060,3,15.4281%,636
334,20,90344,34.0850943,-118.1134464," 46,389,596 ",19%,3233,5,13.8291%,152
335,18,90889,34.0679978,-118.1245023," 76,330,121 ",67%,3702,1,95.9138%,514
336,15,90148,34.1034844,-118.1618879," 6,075,294 ",91%,2737,10,6.2659%,762
337,8,90769,34.0815853,-118.1644584," 80,233,698 ",22%,3004,7,17.6377%,178
338,8,90762,34.1024659,-118.1623668," 91,720,843 ",70%,2723,4,21.8955%,617
339,16,90844,34.0777289,-118.1601714," 20,901,626 ",1%,2379,6,32.3680%,954
340,15,90402,34.0899929,-118.1562091," 81,145,934 ",87%,1493,3,9.3869%,550
341,17,90279,34.1050538,-118.1515492," 24,832,189 ",24%,906,3,44.3737%,1401
342,12,90895,34.072181,-118.120024," 1,751,023 ",60%,1702,2,43.4735%,1399
343,2,90388,34.0810837,-118.1304252," 47,735,478 ",72%,3133,3,29.3836%,505
344,6,90548,34.0750903,-118.1329204," 87,874,381 ",1%,2232,1,42.9761%,1206
345,4,90183,34.1049224,-118.1127569," 32,995,889 ",74%,1905,1,77.4357%,1175
346,14,90750,34.0872247,-118.16327," 71,775,923 ",36%,2705,1,39.5682%,656
347,15,90366,34.0624558,-118.1483952," 42,400,958 ",90%,4698,3,1.5254%,1306
348,2,90411,34.0867602,-118.1447907," 89,142,383 ",1%,16,7,96.1792%,1282
349,3,90857,34.06804,-118.1443844," 10,953,873 ",16%,4004,4,97.5160%,172
350,1,90898,34.1012099,-118.1503959," 57,224,850 ",38%,1774,1,28.7530%,354
351,7,90661,34.0785011,-118.156787," 85,578,256 ",2%,37,4,6.3278%,582
352,15,90089,34.103422,-118.1436185," 19,219,224 ",4%,4815,9,85.3095%,926
353,2,90410,34.0677177,-118.1263936," 12,123,524 ",21%,2474,3,29.7193%,175
354,12,90172,34.0964675,-118.1153819," 31,300,427 ",87%,1725,10,9.1126%,665
355,3,90197,34.103978,-118.1644729," 58,391,789 ",80%,45,1,96.6374%,37
356,3,90491,34.0845491,-118.1412699," 14,727,814 ",67%,1300,9,9.5299%,138
357,14,90184,34.0639079,-118.1138515," 35,691,067 ",40%,3745,4,20.2241%,729
358,5,90202,34.0909728,-118.144754," 88,083,451 ",41%,2261,4,45.8354%,109
359,5,90464,34.0615499,-118.1261219," 47,274,525 ",47%,1466,9,44.2946%,1069
360,14,90164,34.0995392,-118.1367568," 29,613,809 ",19%,3391,8,70.2050%,871
361,18,90170,34.0960014,-118.1488758," 42,207,589 ",11%,3059,7,55.1323%,406
362,6,90693,34.1012864,-118.1431574," 74,435,965 ",51%,4055,5,20.1739%,824
363,3,90121,34.0695199,-118.1295523," 94,920,626 ",49%,2717,1,84.6028%,1163
364,15,90529,34.074442,-118.1592699," 5,393,627 ",100%,54,1,49.3294%,789
365,20,90559,34.0710086,-118.132103," 55,761,292 ",19%,3157,10,30.8307%,1260
366,16,90338,34.0669866,-118.1467692," 38,242,545 ",67%,507,7,26.0345%,577
367,2,90827,34.1024173,-118.1240391," 80,424,946 ",84%,1072,3,46.8255%,1295
368,12,90416,34.0644773,-118.1091248," 88,837,274 ",4%,2986,7,39.3584%,1047
369,2,90465,34.1106722,-118.1321985," 77,961,975 ",19%,1342,6,13.6700%,52
370,11,90480,34.0930451,-118.112088," 49,232,820 ",61%,3090,2,58.8854%,499
371,15,90362,34.0806575,-118.1471355," 80,111,266 ",86%,2604,7,56.2692%,573
372,6,90577,34.0997841,-118.1411441," 52,996,201 ",54%,4306,10,74.3990%,892
373,8,90041,34.0797213,-118.1447519," 98,615,432 ",34%,2579,1,34.3406%,198
374,12,90892,34.1110706,-118.1280753," 85,238,727 ",4%,4499,4,4.4562%,1320
375,2,90710,34.0947723,-118.1180733," 87,059,474 ",1%,3136,6,78.5435%,982
376,15,90106,34.0890582,-118.1292994," 28,262,978 ",74%,2671,8,11.3826%,1299
377,20,90491,34.0881073,-118.1092541," 53,921,594 ",35%,3763,7,57.0668%,921
378,13,90665,34.0844321,-118.1161311," 95,712,731 ",48%,995,1,15.2528%,1093
379,11,90784,34.0628365,-118.1564497," 45,945,115 ",96%,1871,4,68.5765%,1413
380,12,90278,34.0957155,-118.115372," 17,059,763 ",89%,951,2,38.6240%,590
381,19,90643,34.0796081,-118.1593507," 63,470,056 ",62%,3931,9,31.6255%,988
382,19,90533,34.0686887,-118.1292183," 96,715,539 ",44%,628,5,77.7953%,1019
383,8,90374,34.0612229,-118.1552022," 4,314,414 ",84%,757,8,48.7504%,820
384,8,90320,34.0746465,-118.161391," 40,867,474 ",71%,1836,7,90.9991%,1380
385,1,90771,34.0648031,-118.1449605," 78,126,065 ",94%,2893,2,41.8874%,320
386,3,90720,34.0907244,-118.1597527," 60,371,020 ",71%,3372,5,23.3711%,1342
387,18,90251,34.0781935,-118.1302779," 78,781,540 ",72%,4525,1,85.0533%,715
388,13,90183,34.0676767,-118.1543686," 16,052,510 ",96%,1670,2,83.0205%,1262
389,11,90233,34.066818,-118.1335644," 69,595,392 ",89%,1031,1,79.3332%,132
390,12,90168,34.1076057,-118.1188855," 40,660,486 ",28%,3348,4,86.8916%,301
391,15,90202,34.0791776,-118.1584571," 32,557,000 ",56%,374,6,2.2887%,762
392,16,90584,34.0601678,-118.1614034," 47,044,106 ",33%,86,2,24.4740%,972
393,9,90022,34.1041128,-118.1496228," 20,344,719 ",18%,849,3,91.3243%,1040
394,20,90132,34.1023264,-118.1252963," 18,996,568 ",93%,4728,2,51.6518%,746
395,17,90868,34.0796873,-118.1573549," 52,639,158 ",54%,1823,2,80.5503%,958
396,10,90043,34.107618,-118.1369217," 46,714,911 ",65%,504,4,14.6904%,927
397,17,90265,34.1108193,-118.1194183," 88,431,312 ",37%,4157,1,42.1444%,251
398,2,90075,34.096141,-118.1410515," 48,756,473 ",92%,1580,1,46.6889%,1240
399,1,90205,34.1050396,-118.1601422," 77,863,680 ",85%,4908,1,81.5855%,1070
400,5,90203,34.1101879,-118.1137551," 29,497,209 ",86%,3243,6,73.6938%,815
401,7,90588,34.1105743,-118.14233," 59,917,453 ",35%,4299,6,88.7197%,1135
402,10,90737,34.0913994,-118.1203713," 56,605,773 ",30%,3008,4,80.3818%,1302
403,8,90056,34.0660676,-118.1609804," 20,133,087 ",73%,2920,3,43.9985%,755
404,15,90599,34.0816504,-118.1533023," 86,659,503 ",44%,1100,5,60.8652%,598
405,9,90100,34.086906,-118.1438363," 44,396,293 ",34%,907,6,31.0014%,864
406,12,90162,34.0953464,-118.1348187," 9,676,763 ",80%,4106,2,77.1344%,1369
407,1,90338,34.0618968,-118.1245366," 69,209,046 ",51%,338,4,66.2106%,709
408,9,90442,34.1065803,-118.1538927," 62,739,495 ",41%,4714,6,51.7845%,931
409,3,90388,34.072159,-118.1639308," 39,168,369 ",41%,4575,7,28.7750%,569
410,15,90462,34.1002398,-118.1532239," 42,686,885 ",13%,2716,4,13.5714%,707
411,15,90273,34.1082829,-118.1372887," 91,506,978 ",70%,1557,1,41.3655%,411
412,10,90839,34.0974461,-118.1609156," 40,551,041 ",33%,2531,1,97.2227%,11
413,3,90516,34.0683228,-118.140186," 51,529,602 ",63%,1213,2,19.9098%,862
414,17,90826,34.077656,-118.14106," 58,833,745 ",53%,3116,5,84.4966%,375
415,10,90012,34.0797402,-118.1305351," 2,531,865 ",20%,3358,2,44.9903%,330
416,9,90469,34.074297,-118.1270185," 15,931,440 ",65%,3971,5,28.9716%,706
417,6,90329,34.0906222,-118.1189961," 17,163,879 ",6%,2346,2,81.3471%,1057
418,20,90665,34.0687309,-118.1412176," 36,329,475 ",14%,2103,10,19.6049%,158
419,16,90881,34.1004041,-118.1474543," 63,106,357 ",55%,4411,4,41.3359%,535
420,17,90872,34.0845653,-118.1290204," 57,354,839 ",43%,1545,9,23.4139%,130
421,20,90130,34.0954549,-118.1564728," 90,225,892 ",80%,2517,10,47.9991%,1280
422,12,90124,34.0897484,-118.1354357," 32,231,401 ",76%,2789,7,28.9667%,1040
423,6,90768,34.0657062,-118.1162003," 97,378,285 ",40%,3853,9,85.4638%,546
424,8,90287,34.0673312,-118.1318079," 66,004,129 ",36%,3811,4,20.9616%,249
425,13,90425,34.0746224,-118.1336627," 94,781,802 ",85%,2087,1,50.1051%,218
426,3,90016,34.0659652,-118.1505344," 79,666,560 ",47%,3101,1,31.6834%,754
427,18,90464,34.0905479,-118.1167985," 20,506,664 ",1%,2088,2,59.2214%,1233
428,8,90403,34.0670561,-118.1225271," 78,915,897 ",28%,1187,9,76.1623%,907
429,19,90784,34.0690779,-118.1213721," 67,133,776 ",34%,4853,3,83.6047%,824
430,16,90737,34.0897708,-118.1457083," 18,455,583 ",49%,3451,8,57.0192%,260
431,11,90349,34.0764017,-118.1431396," 31,341,724 ",78%,3249,1,14.1251%,409
432,9,90289,34.1019,-118.1390027," 34,496,571 ",88%,3239,3,25.2503%,888
433,16,90653,34.0697003,-118.144966," 10,780,852 ",6%,1838,8,16.4971%,1478
434,19,90599,34.0659935,-118.1465592," 85,601,028 ",30%,999,4,24.5987%,229
435,16,90196,34.067232,-118.164105," 23,355,875 ",24%,348,2,51.4788%,1201
436,18,90116,34.0731563,-118.1499295," 92,349,085 ",17%,2656,8,59.5409%,1246
437,8,90540,34.0868457,-118.1323574," 85,760,284 ",63%,1088,3,32.2659%,313
438,19,90619,34.0669948,-118.1110063," 7,185,670 ",39%,2109,9,37.0115%,1042
439,13,90037,34.0735912,-118.1478982," 25,924,998 ",64%,2490,9,8.3903%,852
440,8,90403,34.0710745,-118.1169353," 78,019,001 ",60%,312,7,96.0105%,567
441,1,90066,34.0689509,-118.1420015," 61,349,847 ",68%,2496,7,45.8162%,404
442,18,90127,34.0648921,-118.1116705," 69,652,919 ",3%,3717,6,61.5448%,403
443,20,90530,34.0692171,-118.136438," 86,709,103 ",39%,240,3,67.4142%,614
444,11,90442,34.0728044,-118.1508088," 66,826,622 ",45%,4189,9,2.8444%,1273
445,11,90613,34.0783798,-118.1579362," 46,923,580 ",99%,733,6,1.5805%,1262
446,6,90041,34.0693249,-118.1283103," 86,171,802 ",50%,2875,2,38.0203%,1384
447,7,90832,34.0977381,-118.149558," 46,634,300 ",88%,4920,5,51.1304%,183
448,2,90202,34.0652042,-118.1085868," 76,744,748 ",18%,3928,5,47.5668%,605
449,2,90782,34.0941972,-118.1564068," 92,901,189 ",24%,2112,5,40.4631%,8
450,17,90794,34.0667703,-118.1558857," 69,643,342 ",12%,716,1,9.1380%,1498
451,1,90705,34.0678213,-118.1114438," 65,726,446 ",79%,2234,10,33.8990%,561
452,11,90108,34.1020234,-118.1170804," 20,409,721 ",58%,4526,7,60.0440%,1056
453,12,90705,34.0746892,-118.1186179," 18,288,522 ",68%,56,2,46.7446%,1257
454,16,90019,34.0639681,-118.1575065," 31,069,534 ",70%,2348,4,5.9172%,144
455,8,90665,34.0788102,-118.1269265," 99,051,841 ",67%,3058,8,17.1877%,1007
456,5,90463,34.1106819,-118.1352526," 7,651,869 ",30%,1048,2,0.5632%,253
457,12,90726,34.0627745,-118.1444825," 47,317,699 ",100%,3268,7,13.7277%,321
458,18,90163,34.0782471,-118.1448864," 87,017,759 ",25%,4620,6,2.0223%,1207
459,1,90601,34.0838045,-118.1125067," 50,071,327 ",58%,4441,9,99.7055%,1116
460,20,90345,34.0941304,-118.1323392," 30,533,005 ",76%,497,6,84.2108%,273
461,10,90334,34.0752456,-118.1152566," 67,851,369 ",86%,4409,5,30.2247%,796
462,16,90261,34.0670682,-118.1612065," 95,217,246 ",83%,3107,4,53.4286%,966
463,8,90236,34.089544,-118.1365592," 93,963,289 ",74%,2564,7,85.8425%,391
464,16,90881,34.0707374,-118.1271651," 51,093,820 ",50%,1133,8,0.9655%,12
465,2,90294,34.1107233,-118.1532208," 33,803,000 ",50%,447,2,35.9233%,1061
466,11,90644,34.1099916,-118.1492269," 87,559,530 ",44%,3480,7,53.2755%,711
467,9,90053,34.0938654,-118.1106703," 15,693,838 ",72%,2573,10,29.0884%,176
468,10,90723,34.0682189,-118.1314299," 40,568,155 ",69%,2124,7,72.6159%,7
469,17,90659,34.0622235,-118.1483082," 44,348,992 ",8%,4023,9,56.8557%,1447
470,11,90090,34.0925528,-118.1197789," 45,220,678 ",51%,2630,3,92.6118%,664
471,8,90004,34.0646247,-118.1542654," 71,210,837 ",87%,3042,3,14.3230%,1126
472,11,90073,34.0894636,-118.1574493," 50,243,172 ",27%,359,6,7.6021%,1393
473,18,90659,34.0997501,-118.1600745," 64,930,942 ",3%,4167,4,93.6197%,232
474,2,90148,34.0871958,-118.1286157," 17,191,919 ",10%,2742,9,34.3195%,621
475,19,90369,34.0794414,-118.1202401," 67,655,618 ",98%,4646,5,16.6735%,416
476,9,90278,34.1064605,-118.1363631," 74,402,175 ",83%,4881,1,23.8506%,517
477,13,90046,34.0669387,-118.1457134," 94,704,948 ",81%,663,9,84.2398%,1105
478,7,90493,34.0910517,-118.1306588," 38,112,147 ",64%,3012,3,26.1703%,460
479,3,90660,34.0870222,-118.1297458," 93,691,073 ",45%,4016,4,1.9985%,475
480,20,90340,34.0915264,-118.1405143," 24,838,391 ",39%,2416,3,88.6603%,1284
481,13,90395,34.0601098,-118.141663," 76,043,327 ",75%,274,7,1.8937%,181
482,18,90578,34.1095327,-118.1100026," 53,052,608 ",1%,2046,7,71.3901%,1017
483,7,90375,34.0919507,-118.1329296," 16,442,472 ",78%,987,10,33.4105%,188
484,3,90471,34.100685,-118.1311621," 94,362,519 ",38%,4112,1,26.1275%,714
485,20,90216,34.0710117,-118.1305288," 90,046,513 ",55%,940,1,79.3919%,4
486,8,90394,34.0923862,-118.1547437," 77,908,914 ",11%,4445,4,35.5415%,725
487,16,90252,34.0710409,-118.1317489," 19,234,202 ",7%,4614,10,46.1720%,87
488,3,90303,34.0716337,-118.1433265," 20,315,340 ",5%,495,7,71.2082%,61
489,14,90495,34.086403,-118.1287683," 9,203,975 ",92%,2484,5,83.5537%,699
490,14,90218,34.0633926,-118.151646," 35,780,948 ",60%,4418,6,95.6804%,1118
491,14,90199,34.1068091,-118.1119872," 46,990,516 ",59%,3000,1,1.1640%,171
492,1,90406,34.1017296,-118.1317689," 66,161,135 ",4%,3430,10,69.3073%,758
493,1,90381,34.0933172,-118.1416215," 82,992,789 ",43%,979,5,73.9330%,334
494,1,90521,34.0625588,-118.1170745," 66,033,532 ",10%,2041,6,30.5127%,764
495,5,90247,34.0999889,-118.1501213," 77,646,427 ",93%,3651,9,36.1519%,543
496,11,90742,34.093675,-118.130229," 88,789,493 ",20%,2997,9,32.5398%,11
497,9,90816,34.0756961,-118.1554011," 60,611,128 ",84%,4629,5,62.1678%,1422
498,13,90382,34.0922199,-118.1172305," 99,329,244 ",49%,2503,9,50.7292%,1017
499,8,90798,34.0867838,-118.1603297," 51,462,666 ",86%,2203,4,41.0468%,1207
500,18,90108,34.0888867,-118.1452323," 60,019,681 ",7%,3004,5,70.9808%,1498
501,15,90169,34.0977212,-118.1474431," 7,613,384 ",25%,3857,6,88.6652%,92
502,15,90525,34.0998551,-118.154282," 97,543,637 ",61%,1178,10,68.7603%,327
503,7,90580,34.0722361,-118.1628179," 70,696,284 ",87%,714,3,63.4706%,1131
504,2,90565,34.0995218,-118.1265003," 65,276,810 ",82%,1311,7,17.8107%,1038
505,14,90124,34.0740465,-118.140157," 12,997,381 ",37%,4135,1,99.6891%,216
506,19,90628,34.1027082,-118.1268385," 241,849 ",16%,4479,6,32.2738%,404
507,12,90893,34.0852329,-118.1123561," 44,367,452 ",29%,138,7,4.5055%,948
508,15,90332,34.1059192,-118.1644254," 64,648,812 ",95%,3798,1,97.0377%,827
509,19,90215,34.0868494,-118.14942," 79,226,767 ",83%,1318,8,39.9125%,1031
510,12,90594,34.1021041,-118.1176259," 34,280,210 ",32%,1877,3,22.4770%,1108
511,15,90471,34.1079015,-118.136847," 86,827,169 ",11%,2702,5,61.1343%,65
512,6,90474,34.1033655,-118.1571874," 97,928,855 ",10%,4111,8,41.2498%,1449
513,13,90423,34.10854,-118.1525098," 43,254,061 ",93%,4141,5,68.2687%,585
514,13,90483,34.0852042,-118.1241141," 4,304,094 ",30%,1430,5,84.6945%,1309
515,20,90388,34.105372,-118.1464055," 82,293,158 ",31%,1719,3,53.1003%,1493
516,7,90391,34.1047829,-118.140513," 91,244,062 ",42%,4023,3,37.8393%,721
517,19,90766,34.1028347,-118.130297," 33,363,450 ",75%,117,2,33.0504%,1421
518,10,90229,34.0692366,-118.1491383," 69,755,930 ",99%,30,1,2.8184%,1012
519,19,90507,34.0663475,-118.1516275," 54,828,057 ",86%,3411,10,29.3503%,44
520,11,90028,34.0801547,-118.1298208," 10,127,871 ",43%,3879,5,22.3574%,1350
521,8,90611,34.0737036,-118.1573322," 2,402,081 ",73%,3854,8,82.0991%,1087
522,15,90119,34.0863971,-118.1212468," 84,110,062 ",79%,4443,3,49.9922%,586
523,7,90677,34.1065268,-118.1125103," 25,725,402 ",53%,841,9,90.8700%,3
524,4,90897,34.0729799,-118.1579442," 42,497,938 ",83%,630,10,24.4364%,1105
525,13,90757,34.0832501,-118.1148064," 6,781,848 ",91%,458,5,8.1905%,1213
526,9,90524,34.0673467,-118.1431099," 74,893,261 ",6%,1917,2,35.7775%,1089
527,11,90366,34.0968062,-118.1596678," 31,748,807 ",14%,79,10,8.9055%,939
528,2,90890,34.0653013,-118.136218," 46,844,716 ",22%,3335,8,87.3775%,300
529,15,90490,34.0874946,-118.1161899," 33,790,467 ",85%,1816,4,44.5064%,1328
530,13,90772,34.110694,-118.1572573," 59,447,748 ",58%,1021,7,11.0350%,642
531,14,90843,34.1026241,-118.1509591," 65,427,399 ",13%,887,10,15.8133%,234
532,8,90391,34.0783292,-118.1400337," 44,606,631 ",33%,4834,2,48.2831%,140
533,18,90715,34.1008442,-118.1408533," 97,493,989 ",7%,3119,5,27.7895%,743
534,4,90890,34.0977959,-118.1408578," 44,921,116 ",83%,2380,5,31.0105%,786
535,14,90650,34.0863093,-118.1473033," 52,360,228 ",38%,4629,9,19.7307%,935
536,7,90287,34.0791322,-118.1137024," 17,622,198 ",66%,4481,3,17.2420%,884
537,3,90414,34.0760376,-118.1604246," 54,680,015 ",69%,3949,5,53.0220%,505
538,14,90029,34.0879464,-118.1446293," 10,048,330 ",43%,3229,5,75.0670%,1203
539,2,90516,34.0675721,-118.1372828," 19,143,801 ",54%,3594,9,66.4198%,244
540,9,90811,34.097269,-118.1146633," 45,027,590 ",3%,1076,3,81.5812%,838
541,5,90539,34.0841741,-118.1352596," 18,025,922 ",27%,318,2,65.5221%,1238
542,15,90405,34.1051248,-118.1482551," 19,059,154 ",63%,1985,3,33.8798%,1305
543,15,90138,34.1019398,-118.1229518," 29,132,673 ",100%,3688,8,24.3161%,1485
544,1,90199,34.0847612,-118.1307564," 76,359,264 ",19%,1572,6,64.8953%,192
545,16,90339,34.0773669,-118.137765," 11,738,225 ",8%,3687,7,33.2378%,354
546,20,90028,34.0970644,-118.1311045," 19,383,917 ",29%,3140,6,96.7216%,936
547,2,90269,34.1034701,-118.1596685," 10,791,218 ",31%,4866,5,26.4654%,1033
548,1,90049,34.088847,-118.1283228," 9,652,459 ",45%,4454,6,85.5012%,302
549,14,90435,34.0776708,-118.1445174," 36,125,030 ",5%,2480,8,41.9728%,806
550,4,90748,34.0829935,-118.1388852," 35,823,111 ",3%,1357,6,11.2265%,1139
551,10,90471,34.0839732,-118.1273699," 45,077,151 ",2%,2838,3,20.4027%,5
552,6,90880,34.0913638,-118.1366593," 84,248,272 ",35%,179,6,22.1148%,1004
553,10,90086,34.0638112,-118.1148897," 11,903,158 ",62%,3848,4,86.7163%,121
554,3,90659,34.0818078,-118.1525628," 94,007,363 ",69%,1493,9,52.9216%,944
555,14,90718,34.0735903,-118.1327541," 38,660,536 ",69%,645,7,24.7399%,1370
556,7,90362,34.0837331,-118.1444039," 20,777,690 ",66%,4115,6,36.9257%,1396
557,3,90773,34.0739058,-118.1527233," 7,072,733 ",29%,3802,5,96.0261%,1444
558,15,90764,34.0968835,-118.1142267," 24,700,231 ",9%,78,2,63.7991%,131
559,8,90162,34.1047581,-118.1555648," 98,609,355 ",45%,3415,8,76.9184%,180
560,10,90495,34.1011893,-118.1305829," 23,144,399 ",89%,4280,7,93.1879%,834
561,16,90806,34.090795,-118.1157582," 18,340,838 ",87%,51,2,15.7114%,378
562,12,90704,34.0856065,-118.1461669," 74,020,715 ",81%,3748,2,40.9388%,1204
563,1,90442,34.0689316,-118.1404736," 26,371,664 ",80%,719,9,93.9767%,1414
564,8,90502,34.0787248,-118.1226474," 84,622,429 ",93%,3862,8,40.9487%,1055
565,5,90314,34.0791353,-118.1168345," 33,479,201 ",2%,3354,10,89.7606%,325
566,4,90430,34.1100468,-118.1609507," 11,624,305 ",77%,3948,1,44.8351%,465
567,20,90357,34.0833567,-118.1279845," 5,392,703 ",77%,3870,5,1.0996%,948
568,5,90555,34.0868869,-118.121863," 5,091,421 ",96%,2419,9,25.2233%,91
569,4,90490,34.0727915,-118.1400449," 91,111,374 ",97%,3286,7,54.9432%,1192
570,1,90264,34.0771451,-118.1301834," 88,319,512 ",36%,2565,5,19.2608%,773
571,3,90461,34.0685998,-118.1271159," 53,293,167 ",12%,3895,9,1.1227%,273
572,15,90407,34.1046502,-118.134061," 52,611,468 ",26%,3823,2,56.7229%,180
573,10,90044,34.0690709,-118.1466862," 72,899,871 ",16%,3356,5,59.8330%,1178
574,12,90745,34.0616698,-118.1507824," 20,629,390 ",89%,2473,1,53.4470%,1485
575,7,90221,34.0641348,-118.1369494," 25,797,184 ",23%,1129,9,92.6270%,757
576,6,90793,34.1085564,-118.1192974," 27,530,510 ",96%,4761,10,25.5285%,599
577,7,90023,34.0694599,-118.1529659," 44,689,543 ",48%,3936,9,61.1360%,194
578,11,90510,34.0777194,-118.1297027," 9,585,162 ",53%,3939,8,55.3624%,299
579,2,90492,34.0865021,-118.1613851," 15,858,532 ",40%,266,7,39.5444%,338
580,10,90558,34.0750112,-118.1537371," 82,086,739 ",61%,4395,9,77.8961%,919
581,1,90192,34.0961947,-118.1504667," 2,908,686 ",56%,4207,8,22.7298%,1261
582,7,90525,34.0701271,-118.1575598," 90,974,723 ",64%,1197,5,52.7773%,1385
583,15,90181,34.0718513,-118.1282577," 39,319,330 ",68%,341,9,16.0647%,815
584,17,90426,34.0833048,-118.1549735," 14,122,422 ",69%,55,10,18.2315%,1257
585,7,90704,34.0657396,-118.1195241," 13,636,323 ",34%,1170,2,93.0587%,842
586,15,90080,34.0826678,-118.1257194," 37,275,896 ",94%,509,8,95.3991%,1013
587,20,90236,34.0724892,-118.1222207," 54,974,035 ",28%,4842,9,24.5243%,594
588,10,90025,34.0830827,-118.1333056," 12,789,278 ",93%,4522,1,17.7244%,790
589,11,90761,34.0825988,-118.1218046," 37,124,697 ",94%,2458,2,21.2982%,1382
590,16,90299,34.063758,-118.1171713," 67,310,014 ",16%,4305,6,49.7516%,326
591,3,90470,34.0671085,-118.1510522," 54,046,293 ",68%,161,5,87.9042%,1437
592,20,90744,34.0613341,-118.1088189," 83,511,057 ",55%,2183,8,3.2441%,805
593,3,90005,34.1089737,-118.1606365," 92,339,738 ",6%,2442,3,43.2957%,1457
594,6,90887,34.1028405,-118.1631298," 47,156,468 ",22%,1789,5,0.4606%,80
595,7,90511,34.0912987,-118.1250677," 5,742,027 ",23%,2880,8,26.3464%,165
596,5,90405,34.0891289,-118.1424447," 52,481,641 ",1%,1585,2,53.9692%,915
597,19,90058,34.102344,-118.1314408," 24,324,749 ",31%,3387,4,28.4934%,4
598,11,90231,34.1050603,-118.1313671," 63,672,631 ",17%,415,1,77.9387%,1431
599,3,90542,34.0970716,-118.1322114," 99,233,789 ",83%,4766,6,87.1686%,1133
600,11,90086,34.0714485,-118.1578611," 3,837,398 ",99%,2965,3,19.3372%,759
601,3,90879,34.0671238,-118.1371582," 52,213,445 ",93%,1339,10,80.5347%,540
602,10,90841,34.0718513,-118.1637231," 95,971,573 ",64%,4091,4,53.1721%,617
603,13,90107,34.1044438,-118.1535299," 86,500,042 ",60%,807,5,13.6483%,402
604,11,90579,34.0773843,-118.1373545," 59,500,824 ",38%,4665,4,23.6387%,194
605,6,90179,34.0708825,-118.1224221," 71,538,075 ",66%,4732,2,55.5287%,872
606,9,90461,34.0940773,-118.1317041," 58,009,257 ",95%,3991,2,22.8759%,734
607,1,90779,34.0638854,-118.1224239," 33,361,864 ",20%,638,3,74.9343%,376
608,18,90888,34.0846798,-118.1385599," 10,079,490 ",58%,2090,7,12.4127%,1242
609,6,90673,34.1051617,-118.1194164," 46,549,975 ",61%,3707,6,2.0322%,1221
610,5,90223,34.094837,-118.1499897," 81,457,402 ",50%,2051,6,81.3812%,1203
611,15,90766,34.1104655,-118.1093012," 15,183,051 ",5%,4521,5,12.3087%,872
612,6,90870,34.0648264,-118.1523902," 72,288,559 ",18%,3028,1,56.9298%,651
613,5,90237,34.0768111,-118.1462645," 11,371,041 ",87%,4139,4,70.2731%,1496
614,15,90645,34.0801559,-118.1452252," 2,724,174 ",97%,509,7,31.2941%,610
615,8,90413,34.0670534,-118.1581557," 47,061,536 ",38%,2168,3,10.9707%,1482
616,7,90804,34.0695315,-118.1150187," 49,875,825 ",34%,2468,4,24.5842%,859
617,9,90581,34.0698828,-118.1373661," 12,193,899 ",61%,656,9,26.8763%,1163
618,13,90052,34.0647075,-118.1277933," 47,071,847 ",62%,2023,9,31.6296%,226
619,3,90383,34.0891041,-118.1100212," 47,174,123 ",14%,2701,9,71.3316%,879
620,10,90789,34.0988875,-118.1354002," 86,117,054 ",79%,2768,3,76.1246%,935
621,10,90021,34.1009348,-118.1297623," 6,033,960 ",1%,1213,9,75.6007%,998
